이름,Skill,URL,진행 기간,한줄 소개
VR 메타버스 운전면허 시험장,"Arduino, C#, Oculus, Unity, 팀 프로젝트",,2022년 3월 2일 → 2022년 12월 8일,VR을 이용한 메타버스 운전 면허 기능을 연습할 수 있는 서비스
Quantum Tec,"Java, Javascript, Mysql, React, Spring Boot, 팀 프로젝트",,2023년 3월 2일 → 2023년 12월 31일,교육용 게임을 공급하는 플랫폼
프로메테우스,"Linux, Python, Unity, 팀 프로젝트",,2023년 3월 2일 → 2023년 12월 31일,드론과 같은 장비로 스캔한 뒤 3d 맵으로 출력해주는 프로젝트
sendAnywhere프로젝트,"Django, Python, 개인 프로젝트",https://send.mayonedev.com/,2023년 12월 15일 → 2023년 12월 16일,sendAnywhere의 서비스를 대학 보안 과제로 작성한 프로젝트.
도서 관리 프로그램,"C#, Mysql, 팀 프로젝트",,2021년 3월 2일 → 2021년 11월 28일,도서관 관리를 위한 프로그램을 개발한 팀 프로젝트.
VR 리듬게임 프로젝트,"C#, Oculus, Unity, 개인 프로젝트",,2021년 9월 1일 → 2021년 12월 4일,VR을 이용하여 총을 조준하는 리듬게임
모바일 게임 프로젝트,"C#, Unity, 개인 프로젝트",,2021년 3월 2일 → 2021년 4월 26일,'드레곤플라이트'를 참조하여 진행한 모바일 게임 개발 프로젝트.
유튜브 자막 팝업 프로그램,"Java, Python, 개인 프로젝트",,2021년 1월 1일 → 2022년 5월 11일,유튜브 동영상 재생 시 자막을 별도 화면에 출력하는 프로그램
PC방 관리 프로그램,"Excel, Visual Basic, 개인 프로젝트",,2018년 9월 1일 → 2018년 12월 14일,PC방에서 시간추가 등 회원을 관리하는 프로그램
